	Match	Place	Latitude	Longitude	Time
44	England vs Pakistan, 4th Test	Kennington Oval, London	51.4843686	-0.1139201	10:00 AM  GMT  / 11:00 AM LOCAL
45	England vs Pakistan, 4th Test	Kennington Oval, London	51.4843686	-0.1139201	10:00 AM  GMT  / 11:00 AM LOCAL
46	England vs Pakistan, 4th Test	Kennington Oval, London	51.4843686	-0.1139201	10:00 AM  GMT  / 11:00 AM LOCAL
47	Sri Lanka vs Australia, 3rd Test	Sinhalese Sports Club, Colombo	6.9270786	79.861243	04:30 AM  GMT  / 10:00 AM LOCAL
48	England vs Pakistan, 4th Test	Kennington Oval, London	51.4843686	-0.1139201	10:00 AM  GMT  / 11:00 AM LOCAL
49	Sri Lanka vs Australia, 3rd Test	Sinhalese Sports Club, Colombo	6.9270786	79.861243	04:30 AM  GMT  / 10:00 AM LOCAL
50	England vs Pakistan, 4th Test	Kennington Oval, London	51.4843686	-0.1139201	10:00 AM  GMT  / 11:00 AM LOCAL
51	Sri Lanka vs Australia, 3rd Test	Sinhalese Sports Club, Colombo	6.9270786	79.861243	04:30 AM  GMT  / 10:00 AM LOCAL
52	Sri Lanka vs Australia, 3rd Test	Sinhalese Sports Club, Colombo	6.9270786	79.861243	04:30 AM  GMT  / 10:00 AM LOCAL
53	Sri Lanka vs Australia, 3rd Test	Sinhalese Sports Club, Colombo	6.9270786	79.861243	04:30 AM  GMT  / 10:00 AM LOCAL
54	Ireland vs Pakistan, 1st ODI	TBC, TBC	36.0845812	-111.3797378	09:45 AM  GMT  / 03:15 PM LOCAL
55	South Africa vs New Zealand, 1st Test	Kingsmead, Durban	-29.8480046	31.0284445	12:00 AM  GMT  / 02:00 AM LOCAL
56	South Africa vs New Zealand, 1st Test	Kingsmead, Durban	-29.8480046	31.0284445	12:00 AM  GMT  / 02:00 AM LOCAL
57	Ireland vs Pakistan, 2nd ODI	TBC, TBC	36.0845812	-111.3797378	09:45 AM  GMT  / 03:15 PM LOCAL
58	South Africa vs New Zealand, 1st Test	Kingsmead, Durban	-29.8480046	31.0284445	12:00 AM  GMT  / 02:00 AM LOCAL
59	Sri Lanka vs Australia, 1st ODI	R.Premadasa Stadium, Colombo	6.9270786	79.861243	12:00 AM  GMT  / 05:30 AM LOCAL
60	South Africa vs New Zealand, 1st Test	Kingsmead, Durban	-29.8480046	31.0284445	12:00 AM  GMT  / 02:00 AM LOCAL
61	South Africa vs New Zealand, 1st Test	Kingsmead, Durban	-29.8480046	31.0284445	12:00 AM  GMT  / 02:00 AM LOCAL
62	England vs Pakistan, 1st ODI	The Rose Bowl, Southampton	50.90970040000001	-1.4043509	01:00 PM  GMT  / 02:00 PM LOCAL
63	Sri Lanka vs Australia, 2nd ODI	R.Premadasa Stadium, Colombo	6.9270786	79.861243	12:00 AM  GMT  / 05:30 AM LOCAL
64	England vs Pakistan, 2nd ODI	Lord's, London	51.5289171	-0.1748869	09:30 AM  GMT  / 10:30 AM LOCAL
65	South Africa vs New Zealand, 2nd Test	SuperSport Park, Centurion	-25.864029	28.0888578	12:00 AM  GMT  / 02:00 AM LOCAL
66	South Africa vs New Zealand, 2nd Test	SuperSport Park, Centurion	-25.864029	28.0888578	12:00 AM  GMT  / 02:00 AM LOCAL
67	Sri Lanka vs Australia, 3rd ODI	Rangiri Dambulla International Stadium, Dambulla	7.8985219	80.6770787	12:00 AM  GMT  / 05:30 AM LOCAL
68	South Africa vs New Zealand, 2nd Test	SuperSport Park, Centurion	-25.864029	28.0888578	12:00 AM  GMT  / 02:00 AM LOCAL
69	South Africa vs New Zealand, 2nd Test	SuperSport Park, Centurion	-25.864029	28.0888578	12:00 AM  GMT  / 02:00 AM LOCAL
